이름 : 다차, 몸무게 : 51, 키 : 172 
이름 : 마라, 몸무게 : 89, 키 : 196 
이름 : 마사, 몸무게 : 41, 키 : 175 
이름 : 카파, 몸무게 : 99, 키 : 157 
이름 : 자나, 몸무게 : 63, 키 : 181 
이름 : 마자, 몸무게 : 60, 키 : 162 
이름 : 다타, 몸무게 : 68, 키 : 161 
이름 : 카하, 몸무게 : 72, 키 : 171 
이름 : 파나, 몸무게 : 63, 키 : 189 
이름 : 마나, 몸무게 : 81, 키 : 160 
이름 : 자자, 몸무게 : 88, 키 : 153 
이름 : 자다, 몸무게 : 86, 키 : 195 
이름 : 사나, 몸무게 : 66, 키 : 195 
이름 : 바하, 몸무게 : 59, 키 : 199 
이름 : 파가, 몸무게 : 82, 키 : 193 
이름 : 가차, 몸무게 : 77, 키 : 196 
이름 : 하다, 몸무게 : 91, 키 : 179 
이름 : 타타, 몸무게 : 97, 키 : 178 
이름 : 사타, 몸무게 : 90, 키 : 150 
이름 : 차카, 몸무게 : 55, 키 : 189 
이름 : 나가, 몸무게 : 50, 키 : 162 
이름 : 타하, 몸무게 : 43, 키 : 193 
이름 : 타자, 몸무게 : 47, 키 : 173 
이름 : 파가, 몸무게 : 87, 키 : 159 
이름 : 나라, 몸무게 : 81, 키 : 181 
이름 : 차다, 몸무게 : 93, 키 : 167 
이름 : 마다, 몸무게 : 57, 키 : 181 
이름 : 파사, 몸무게 : 53, 키 : 152 
이름 : 타마, 몸무게 : 78, 키 : 173 
이름 : 아나, 몸무게 : 53, 키 : 184 
이름 : 가다, 몸무게 : 68, 키 : 165 
이름 : 하다, 몸무게 : 51, 키 : 177 
이름 : 카가, 몸무게 : 63, 키 : 172 
이름 : 라타, 몸무게 : 58, 키 : 182 
이름 : 가자, 몸무게 : 75, 키 : 194 
이름 : 자다, 몸무게 : 81, 키 : 175 
이름 : 바다, 몸무게 : 82, 키 : 181 
이름 : 하아, 몸무게 : 90, 키 : 176 
이름 : 타파, 몸무게 : 63, 키 : 170 
이름 : 카아, 몸무게 : 63, 키 : 190 
이름 : 하가, 몸무게 : 44, 키 : 194 
이름 : 카가, 몸무게 : 72, 키 : 173 
이름 : 바아, 몸무게 : 76, 키 : 174 
이름 : 마다, 몸무게 : 57, 키 : 192 
이름 : 파라, 몸무게 : 89, 키 : 162 
이름 : 하사, 몸무게 : 94, 키 : 177 
이름 : 하타, 몸무게 : 89, 키 : 181 
이름 : 다타, 몸무게 : 58, 키 : 196 
이름 : 하나, 몸무게 : 76, 키 : 169 
이름 : 사하, 몸무게 : 80, 키 : 181 
이름 : 라나, 몸무게 : 67, 키 : 194 
이름 : 바사, 몸무게 : 45, 키 : 180 
이름 : 바나, 몸무게 : 71, 키 : 196 
이름 : 파타, 몸무게 : 47, 키 : 188 
이름 : 나아, 몸무게 : 63, 키 : 172 
이름 : 아카, 몸무게 : 63, 키 : 198 
이름 : 가자, 몸무게 : 52, 키 : 162 
이름 : 자마, 몸무게 : 45, 키 : 189 
이름 : 차나, 몸무게 : 90, 키 : 181 
이름 : 아카, 몸무게 : 50, 키 : 173 
이름 : 아가, 몸무게 : 71, 키 : 159 
이름 : 나가, 몸무게 : 91, 키 : 152 
이름 : 아아, 몸무게 : 93, 키 : 167 
이름 : 라타, 몸무게 : 60, 키 : 187 
이름 : 다바, 몸무게 : 41, 키 : 154 
이름 : 바하, 몸무게 : 53, 키 : 178 
이름 : 자다, 몸무게 : 94, 키 : 159 
이름 : 바타, 몸무게 : 59, 키 : 155 
이름 : 바라, 몸무게 : 41, 키 : 193 
이름 : 카다, 몸무게 : 92, 키 : 167 
이름 : 다자, 몸무게 : 92, 키 : 193 
이름 : 파나, 몸무게 : 79, 키 : 177 
이름 : 카바, 몸무게 : 63, 키 : 191 
이름 : 사라, 몸무게 : 56, 키 : 182 
이름 : 라자, 몸무게 : 94, 키 : 159 
이름 : 파마, 몸무게 : 42, 키 : 167 
이름 : 사다, 몸무게 : 42, 키 : 198 
이름 : 바마, 몸무게 : 54, 키 : 195 
이름 : 사자, 몸무게 : 66, 키 : 179 
이름 : 마자, 몸무게 : 43, 키 : 150 
이름 : 타바, 몸무게 : 65, 키 : 162 
이름 : 타자, 몸무게 : 74, 키 : 190 
이름 : 마마, 몸무게 : 49, 키 : 167 
이름 : 자파, 몸무게 : 73, 키 : 185 
이름 : 카다, 몸무게 : 70, 키 : 180 
이름 : 사사, 몸무게 : 78, 키 : 182 
이름 : 아사, 몸무게 : 70, 키 : 183 
이름 : 바아, 몸무게 : 60, 키 : 191 
이름 : 타사, 몸무게 : 50, 키 : 166 
이름 : 파하, 몸무게 : 58, 키 : 168 
이름 : 카가, 몸무게 : 81, 키 : 173 
이름 : 하파, 몸무게 : 70, 키 : 178 
이름 : 하카, 몸무게 : 54, 키 : 199 
이름 : 사아, 몸무게 : 58, 키 : 178 
이름 : 파다, 몸무게 : 48, 키 : 161 
이름 : 바마, 몸무게 : 64, 키 : 198 
이름 : 라나, 몸무게 : 72, 키 : 163 
이름 : 다바, 몸무게 : 72, 키 : 181 
이름 : 바마, 몸무게 : 83, 키 : 194 
이름 : 나나, 몸무게 : 79, 키 : 168 
이름 : 바차, 몸무게 : 42, 키 : 174 
이름 : 다마, 몸무게 : 88, 키 : 185 
이름 : 다자, 몸무게 : 60, 키 : 190 
이름 : 타라, 몸무게 : 55, 키 : 187 
이름 : 타라, 몸무게 : 77, 키 : 197 
이름 : 파바, 몸무게 : 89, 키 : 175 
이름 : 나바, 몸무게 : 60, 키 : 192 
이름 : 가타, 몸무게 : 73, 키 : 173 
이름 : 가자, 몸무게 : 95, 키 : 187 
이름 : 차마, 몸무게 : 84, 키 : 181 
이름 : 자다, 몸무게 : 78, 키 : 179 
이름 : 다다, 몸무게 : 41, 키 : 168 
이름 : 나바, 몸무게 : 54, 키 : 155 
이름 : 가파, 몸무게 : 59, 키 : 166 
이름 : 나마, 몸무게 : 90, 키 : 186 
이름 : 라사, 몸무게 : 79, 키 : 183 
이름 : 타사, 몸무게 : 43, 키 : 187 
이름 : 바차, 몸무게 : 77, 키 : 196 
이름 : 바아, 몸무게 : 76, 키 : 186 
이름 : 파차, 몸무게 : 97, 키 : 190 
이름 : 가나, 몸무게 : 60, 키 : 169 
이름 : 가아, 몸무게 : 91, 키 : 191 
이름 : 자카, 몸무게 : 93, 키 : 168 
이름 : 차차, 몸무게 : 84, 키 : 176 
이름 : 다사, 몸무게 : 44, 키 : 176 
이름 : 차타, 몸무게 : 48, 키 : 162 
이름 : 차하, 몸무게 : 66, 키 : 198 
이름 : 라차, 몸무게 : 90, 키 : 185 
이름 : 바아, 몸무게 : 74, 키 : 199 
이름 : 라라, 몸무게 : 92, 키 : 152 
이름 : 타자, 몸무게 : 60, 키 : 188 
이름 : 타사, 몸무게 : 92, 키 : 154 
이름 : 사차, 몸무게 : 60, 키 : 198 
이름 : 바파, 몸무게 : 86, 키 : 176 
이름 : 타파, 몸무게 : 53, 키 : 172 
이름 : 파타, 몸무게 : 98, 키 : 199 
이름 : 나차, 몸무게 : 99, 키 : 172 
이름 : 바마, 몸무게 : 83, 키 : 184 
이름 : 마아, 몸무게 : 40, 키 : 153 
이름 : 타마, 몸무게 : 49, 키 : 159 
이름 : 타사, 몸무게 : 43, 키 : 198 
이름 : 파바, 몸무게 : 90, 키 : 190 
이름 : 아파, 몸무게 : 73, 키 : 190 
이름 : 사하, 몸무게 : 52, 키 : 193 
이름 : 하아, 몸무게 : 71, 키 : 155 
이름 : 가다, 몸무게 : 92, 키 : 156 
이름 : 파라, 몸무게 : 85, 키 : 170 
이름 : 마사, 몸무게 : 62, 키 : 157 
이름 : 타바, 몸무게 : 44, 키 : 168 
이름 : 타타, 몸무게 : 90, 키 : 195 
이름 : 마차, 몸무게 : 46, 키 : 169 
이름 : 나카, 몸무게 : 81, 키 : 199 
이름 : 바라, 몸무게 : 83, 키 : 168 
이름 : 카차, 몸무게 : 61, 키 : 187 
이름 : 가하, 몸무게 : 77, 키 : 189 
이름 : 타바, 몸무게 : 83, 키 : 155 
이름 : 카마, 몸무게 : 52, 키 : 189 
이름 : 가아, 몸무게 : 62, 키 : 182 
이름 : 바사, 몸무게 : 61, 키 : 155 
이름 : 파자, 몸무게 : 75, 키 : 169 
이름 : 나마, 몸무게 : 68, 키 : 162 
이름 : 라마, 몸무게 : 46, 키 : 150 
이름 : 타하, 몸무게 : 81, 키 : 172 
이름 : 바자, 몸무게 : 80, 키 : 182 
이름 : 가바, 몸무게 : 47, 키 : 173 
이름 : 카가, 몸무게 : 66, 키 : 197 
이름 : 라하, 몸무게 : 73, 키 : 152 
이름 : 가바, 몸무게 : 77, 키 : 168 
이름 : 자다, 몸무게 : 54, 키 : 179 
이름 : 아자, 몸무게 : 97, 키 : 196 
이름 : 바카, 몸무게 : 70, 키 : 187 
이름 : 타라, 몸무게 : 82, 키 : 185 
이름 : 파나, 몸무게 : 90, 키 : 153 
이름 : 가자, 몸무게 : 83, 키 : 182 
이름 : 아카, 몸무게 : 75, 키 : 183 
이름 : 가라, 몸무게 : 66, 키 : 179 
이름 : 마차, 몸무게 : 51, 키 : 198 
이름 : 바라, 몸무게 : 66, 키 : 187 
이름 : 다가, 몸무게 : 51, 키 : 190 
이름 : 바카, 몸무게 : 71, 키 : 161 
이름 : 타파, 몸무게 : 47, 키 : 174 
이름 : 아나, 몸무게 : 63, 키 : 189 
이름 : 카나, 몸무게 : 85, 키 : 157 
이름 : 타가, 몸무게 : 80, 키 : 169 
이름 : 사다, 몸무게 : 91, 키 : 185 
이름 : 카아, 몸무게 : 64, 키 : 180 
이름 : 아나, 몸무게 : 85, 키 : 167 
이름 : 아마, 몸무게 : 46, 키 : 185 
이름 : 타아, 몸무게 : 96, 키 : 163 
이름 : 마사, 몸무게 : 87, 키 : 197 
이름 : 사바, 몸무게 : 78, 키 : 194 
이름 : 마사, 몸무게 : 51, 키 : 153 
이름 : 나카, 몸무게 : 72, 키 : 187 
이름 : 나차, 몸무게 : 51, 키 : 169 
이름 : 자카, 몸무게 : 94, 키 : 154 
이름 : 마타, 몸무게 : 84, 키 : 174 
이름 : 하차, 몸무게 : 92, 키 : 168 
이름 : 다자, 몸무게 : 94, 키 : 178 
이름 : 카카, 몸무게 : 40, 키 : 174 
이름 : 하차, 몸무게 : 85, 키 : 159 
이름 : 하가, 몸무게 : 80, 키 : 153 
이름 : 마사, 몸무게 : 59, 키 : 190 
이름 : 하다, 몸무게 : 63, 키 : 195 
이름 : 자가, 몸무게 : 62, 키 : 194 
이름 : 가카, 몸무게 : 89, 키 : 172 
이름 : 사하, 몸무게 : 63, 키 : 197 
이름 : 자나, 몸무게 : 84, 키 : 199 
이름 : 자라, 몸무게 : 83, 키 : 183 
이름 : 차카, 몸무게 : 40, 키 : 192 
이름 : 라마, 몸무게 : 53, 키 : 181 
이름 : 자타, 몸무게 : 57, 키 : 157 
이름 : 아나, 몸무게 : 57, 키 : 197 
이름 : 하아, 몸무게 : 73, 키 : 183 
이름 : 타카, 몸무게 : 96, 키 : 170 
이름 : 나바, 몸무게 : 81, 키 : 163 
이름 : 마가, 몸무게 : 74, 키 : 151 
이름 : 차차, 몸무게 : 68, 키 : 152 
이름 : 아카, 몸무게 : 84, 키 : 170 
이름 : 하자, 몸무게 : 84, 키 : 163 
이름 : 카사, 몸무게 : 93, 키 : 150 
이름 : 타마, 몸무게 : 78, 키 : 191 
이름 : 차다, 몸무게 : 92, 키 : 190 
이름 : 나하, 몸무게 : 96, 키 : 179 
이름 : 가바, 몸무게 : 44, 키 : 150 
이름 : 하자, 몸무게 : 86, 키 : 157 
이름 : 하파, 몸무게 : 56, 키 : 182 
이름 : 가가, 몸무게 : 72, 키 : 172 
이름 : 다타, 몸무게 : 44, 키 : 186 
이름 : 다라, 몸무게 : 44, 키 : 173 
이름 : 가타, 몸무게 : 65, 키 : 168 
이름 : 바자, 몸무게 : 88, 키 : 191 
이름 : 라나, 몸무게 : 91, 키 : 169 
이름 : 바파, 몸무게 : 84, 키 : 196 
이름 : 라마, 몸무게 : 76, 키 : 195 
이름 : 차사, 몸무게 : 90, 키 : 196 
이름 : 다바, 몸무게 : 49, 키 : 193 
이름 : 다자, 몸무게 : 78, 키 : 166 
이름 : 파하, 몸무게 : 96, 키 : 188 
이름 : 바카, 몸무게 : 91, 키 : 172 
이름 : 사카, 몸무게 : 46, 키 : 154 
이름 : 사파, 몸무게 : 57, 키 : 177 
이름 : 나라, 몸무게 : 84, 키 : 156 
이름 : 카가, 몸무게 : 71, 키 : 167 
이름 : 타라, 몸무게 : 62, 키 : 165 
이름 : 나파, 몸무게 : 89, 키 : 165 
이름 : 타아, 몸무게 : 69, 키 : 196 
이름 : 바다, 몸무게 : 56, 키 : 169 
이름 : 파가, 몸무게 : 62, 키 : 188 
이름 : 라타, 몸무게 : 75, 키 : 191 
이름 : 라카, 몸무게 : 47, 키 : 180 
이름 : 자나, 몸무게 : 74, 키 : 172 
이름 : 다바, 몸무게 : 73, 키 : 192 
이름 : 라다, 몸무게 : 90, 키 : 191 
이름 : 하라, 몸무게 : 63, 키 : 180 
이름 : 나사, 몸무게 : 46, 키 : 153 
이름 : 아마, 몸무게 : 49, 키 : 196 
이름 : 바타, 몸무게 : 52, 키 : 173 
이름 : 차파, 몸무게 : 91, 키 : 195 
이름 : 타타, 몸무게 : 88, 키 : 150 
이름 : 사타, 몸무게 : 54, 키 : 182 
이름 : 마마, 몸무게 : 92, 키 : 191 
이름 : 파카, 몸무게 : 80, 키 : 193 
이름 : 바하, 몸무게 : 71, 키 : 191 
이름 : 카다, 몸무게 : 73, 키 : 153 
이름 : 라가, 몸무게 : 58, 키 : 171 
이름 : 가타, 몸무게 : 75, 키 : 169 
이름 : 하나, 몸무게 : 88, 키 : 170 
이름 : 바가, 몸무게 : 67, 키 : 160 
이름 : 라사, 몸무게 : 81, 키 : 189 
이름 : 아바, 몸무게 : 68, 키 : 193 
이름 : 하차, 몸무게 : 90, 키 : 161 
이름 : 타가, 몸무게 : 54, 키 : 163 
이름 : 아자, 몸무게 : 95, 키 : 188 
이름 : 라라, 몸무게 : 87, 키 : 172 
이름 : 자하, 몸무게 : 42, 키 : 195 
이름 : 타타, 몸무게 : 97, 키 : 159 
이름 : 가파, 몸무게 : 71, 키 : 171 
이름 : 카라, 몸무게 : 43, 키 : 153 
이름 : 나바, 몸무게 : 61, 키 : 199 
이름 : 라아, 몸무게 : 49, 키 : 173 
이름 : 차라, 몸무게 : 80, 키 : 164 
이름 : 아자, 몸무게 : 63, 키 : 174 
이름 : 라사, 몸무게 : 91, 키 : 163 
이름 : 타하, 몸무게 : 49, 키 : 193 
이름 : 나나, 몸무게 : 72, 키 : 165 
이름 : 바가, 몸무게 : 43, 키 : 187 
이름 : 차타, 몸무게 : 66, 키 : 189 
이름 : 바가, 몸무게 : 50, 키 : 160 
이름 : 하바, 몸무게 : 70, 키 : 162 
이름 : 사카, 몸무게 : 95, 키 : 160 
이름 : 카차, 몸무게 : 66, 키 : 163 
이름 : 파가, 몸무게 : 59, 키 : 162 
이름 : 차가, 몸무게 : 62, 키 : 156 
이름 : 하바, 몸무게 : 82, 키 : 176 
이름 : 파아, 몸무게 : 90, 키 : 181 
이름 : 파사, 몸무게 : 40, 키 : 173 
이름 : 가아, 몸무게 : 93, 키 : 153 
이름 : 마타, 몸무게 : 70, 키 : 178 
이름 : 가라, 몸무게 : 62, 키 : 153 
이름 : 마차, 몸무게 : 69, 키 : 186 
이름 : 파다, 몸무게 : 75, 키 : 171 
이름 : 라바, 몸무게 : 50, 키 : 162 
이름 : 파다, 몸무게 : 53, 키 : 175 
이름 : 마차, 몸무게 : 93, 키 : 198 
이름 : 라바, 몸무게 : 56, 키 : 171 
이름 : 라카, 몸무게 : 53, 키 : 157 
이름 : 아사, 몸무게 : 81, 키 : 183 
이름 : 라바, 몸무게 : 74, 키 : 169 
이름 : 카자, 몸무게 : 44, 키 : 173 
이름 : 타다, 몸무게 : 67, 키 : 167 
이름 : 아다, 몸무게 : 90, 키 : 158 
이름 : 가차, 몸무게 : 94, 키 : 189 
이름 : 파차, 몸무게 : 95, 키 : 196 
이름 : 자사, 몸무게 : 71, 키 : 164 
이름 : 카바, 몸무게 : 47, 키 : 177 
이름 : 라카, 몸무게 : 55, 키 : 175 
이름 : 가차, 몸무게 : 87, 키 : 164 
이름 : 라타, 몸무게 : 88, 키 : 166 
이름 : 파바, 몸무게 : 41, 키 : 162 
이름 : 아다, 몸무게 : 76, 키 : 185 
이름 : 바카, 몸무게 : 73, 키 : 160 
이름 : 파바, 몸무게 : 94, 키 : 151 
이름 : 하가, 몸무게 : 81, 키 : 155 
이름 : 카마, 몸무게 : 50, 키 : 186 
이름 : 마바, 몸무게 : 45, 키 : 191 
이름 : 나바, 몸무게 : 81, 키 : 197 
이름 : 라파, 몸무게 : 79, 키 : 167 
이름 : 나라, 몸무게 : 75, 키 : 196 
이름 : 바가, 몸무게 : 84, 키 : 194 
이름 : 자가, 몸무게 : 98, 키 : 195 
이름 : 나타, 몸무게 : 78, 키 : 159 
이름 : 라타, 몸무게 : 48, 키 : 174 
이름 : 나자, 몸무게 : 84, 키 : 185 
이름 : 타다, 몸무게 : 86, 키 : 186 
이름 : 타하, 몸무게 : 84, 키 : 152 
이름 : 자하, 몸무게 : 71, 키 : 177 
이름 : 가카, 몸무게 : 75, 키 : 193 
이름 : 나마, 몸무게 : 43, 키 : 177 
이름 : 자가, 몸무게 : 62, 키 : 184 
이름 : 파타, 몸무게 : 74, 키 : 190 
이름 : 하차, 몸무게 : 76, 키 : 182 
이름 : 파바, 몸무게 : 68, 키 : 161 
이름 : 자카, 몸무게 : 56, 키 : 154 
이름 : 나자, 몸무게 : 74, 키 : 161 
이름 : 타나, 몸무게 : 87, 키 : 195 
이름 : 사하, 몸무게 : 93, 키 : 165 
이름 : 다카, 몸무게 : 75, 키 : 194 
이름 : 바나, 몸무게 : 62, 키 : 155 
이름 : 라마, 몸무게 : 47, 키 : 185 
이름 : 카파, 몸무게 : 83, 키 : 178 
이름 : 가타, 몸무게 : 58, 키 : 154 
이름 : 차마, 몸무게 : 70, 키 : 157 
이름 : 카가, 몸무게 : 70, 키 : 163 
이름 : 마파, 몸무게 : 63, 키 : 154 
이름 : 나라, 몸무게 : 81, 키 : 151 
이름 : 사나, 몸무게 : 92, 키 : 186 
이름 : 하차, 몸무게 : 98, 키 : 186 
이름 : 바마, 몸무게 : 55, 키 : 159 
이름 : 파바, 몸무게 : 84, 키 : 183 
이름 : 다마, 몸무게 : 96, 키 : 171 
이름 : 타사, 몸무게 : 94, 키 : 183 
이름 : 아라, 몸무게 : 79, 키 : 153 
이름 : 아카, 몸무게 : 83, 키 : 196 
이름 : 파아, 몸무게 : 46, 키 : 187 
이름 : 아타, 몸무게 : 74, 키 : 186 
이름 : 사라, 몸무게 : 62, 키 : 152 
이름 : 사나, 몸무게 : 48, 키 : 191 
이름 : 아가, 몸무게 : 56, 키 : 180 
이름 : 다사, 몸무게 : 93, 키 : 154 
이름 : 카하, 몸무게 : 40, 키 : 174 
이름 : 나카, 몸무게 : 85, 키 : 197 
이름 : 다다, 몸무게 : 75, 키 : 184 
이름 : 아하, 몸무게 : 66, 키 : 156 
이름 : 다나, 몸무게 : 61, 키 : 164 
이름 : 자라, 몸무게 : 92, 키 : 198 
이름 : 바하, 몸무게 : 96, 키 : 155 
이름 : 나가, 몸무게 : 48, 키 : 190 
이름 : 파바, 몸무게 : 94, 키 : 162 
이름 : 자하, 몸무게 : 98, 키 : 174 
이름 : 하마, 몸무게 : 46, 키 : 166 
이름 : 마라, 몸무게 : 59, 키 : 167 
이름 : 바가, 몸무게 : 87, 키 : 196 
이름 : 나타, 몸무게 : 78, 키 : 168 
이름 : 자사, 몸무게 : 90, 키 : 164 
이름 : 자가, 몸무게 : 50, 키 : 168 
이름 : 하차, 몸무게 : 71, 키 : 156 
이름 : 아나, 몸무게 : 69, 키 : 165 
이름 : 자아, 몸무게 : 63, 키 : 175 
이름 : 하자, 몸무게 : 85, 키 : 181 
이름 : 타아, 몸무게 : 60, 키 : 184 
이름 : 카바, 몸무게 : 52, 키 : 171 
이름 : 다나, 몸무게 : 98, 키 : 151 
이름 : 타차, 몸무게 : 42, 키 : 176 
이름 : 마바, 몸무게 : 58, 키 : 190 
이름 : 사나, 몸무게 : 93, 키 : 181 
이름 : 카하, 몸무게 : 80, 키 : 193 
이름 : 자타, 몸무게 : 71, 키 : 151 
이름 : 바마, 몸무게 : 71, 키 : 176 
이름 : 파타, 몸무게 : 62, 키 : 170 
이름 : 차사, 몸무게 : 95, 키 : 177 
이름 : 마가, 몸무게 : 54, 키 : 186 
이름 : 가차, 몸무게 : 45, 키 : 199 
이름 : 다아, 몸무게 : 58, 키 : 155 
이름 : 파가, 몸무게 : 56, 키 : 189 
이름 : 나다, 몸무게 : 70, 키 : 160 
이름 : 차마, 몸무게 : 78, 키 : 167 
이름 : 마라, 몸무게 : 72, 키 : 196 
이름 : 파아, 몸무게 : 41, 키 : 162 
이름 : 마타, 몸무게 : 63, 키 : 179 
이름 : 사아, 몸무게 : 68, 키 : 196 
이름 : 파파, 몸무게 : 53, 키 : 192 
이름 : 하마, 몸무게 : 58, 키 : 184 
이름 : 아타, 몸무게 : 49, 키 : 193 
이름 : 나차, 몸무게 : 89, 키 : 168 
이름 : 바다, 몸무게 : 63, 키 : 168 
이름 : 마나, 몸무게 : 92, 키 : 155 
이름 : 타나, 몸무게 : 91, 키 : 164 
이름 : 라카, 몸무게 : 67, 키 : 153 
이름 : 파바, 몸무게 : 97, 키 : 182 
이름 : 카가, 몸무게 : 85, 키 : 160 
이름 : 사차, 몸무게 : 79, 키 : 150 
이름 : 파차, 몸무게 : 79, 키 : 166 
이름 : 가자, 몸무게 : 93, 키 : 186 
이름 : 바다, 몸무게 : 87, 키 : 151 
이름 : 자가, 몸무게 : 49, 키 : 161 
이름 : 다차, 몸무게 : 45, 키 : 171 
이름 : 카자, 몸무게 : 70, 키 : 190 
이름 : 나아, 몸무게 : 97, 키 : 185 
이름 : 차카, 몸무게 : 42, 키 : 188 
이름 : 카차, 몸무게 : 60, 키 : 190 
이름 : 사타, 몸무게 : 95, 키 : 174 
이름 : 다자, 몸무게 : 46, 키 : 156 
이름 : 나가, 몸무게 : 90, 키 : 190 
이름 : 아차, 몸무게 : 92, 키 : 195 
이름 : 나타, 몸무게 : 67, 키 : 187 
이름 : 라파, 몸무게 : 96, 키 : 164 
이름 : 카바, 몸무게 : 54, 키 : 179 
이름 : 차가, 몸무게 : 84, 키 : 195 
이름 : 바나, 몸무게 : 40, 키 : 181 
이름 : 나파, 몸무게 : 91, 키 : 170 
이름 : 파타, 몸무게 : 99, 키 : 175 
이름 : 다바, 몸무게 : 78, 키 : 193 
이름 : 바자, 몸무게 : 94, 키 : 191 
이름 : 자사, 몸무게 : 47, 키 : 194 
이름 : 차파, 몸무게 : 50, 키 : 165 
이름 : 다바, 몸무게 : 91, 키 : 184 
이름 : 바라, 몸무게 : 45, 키 : 162 
이름 : 가라, 몸무게 : 46, 키 : 165 
이름 : 라다, 몸무게 : 60, 키 : 170 
이름 : 가사, 몸무게 : 95, 키 : 190 
이름 : 나파, 몸무게 : 56, 키 : 178 
이름 : 하바, 몸무게 : 78, 키 : 189 
이름 : 사차, 몸무게 : 65, 키 : 160 
이름 : 다바, 몸무게 : 93, 키 : 182 
이름 : 카차, 몸무게 : 72, 키 : 162 
이름 : 카카, 몸무게 : 47, 키 : 160 
이름 : 하다, 몸무게 : 45, 키 : 157 
이름 : 라사, 몸무게 : 80, 키 : 176 
이름 : 자바, 몸무게 : 49, 키 : 184 
이름 : 타타, 몸무게 : 54, 키 : 157 
이름 : 자타, 몸무게 : 90, 키 : 191 
이름 : 차가, 몸무게 : 43, 키 : 198 
이름 : 아카, 몸무게 : 86, 키 : 186 
이름 : 타차, 몸무게 : 53, 키 : 165 
이름 : 라타, 몸무게 : 89, 키 : 198 
이름 : 다가, 몸무게 : 66, 키 : 187 
이름 : 파사, 몸무게 : 52, 키 : 179 
이름 : 가차, 몸무게 : 88, 키 : 166 
이름 : 바라, 몸무게 : 62, 키 : 179 
이름 : 파타, 몸무게 : 72, 키 : 192 
이름 : 다하, 몸무게 : 43, 키 : 179 
이름 : 사라, 몸무게 : 49, 키 : 166 
이름 : 하타, 몸무게 : 46, 키 : 196 
이름 : 나라, 몸무게 : 80, 키 : 189 
이름 : 자다, 몸무게 : 69, 키 : 166 
이름 : 나카, 몸무게 : 52, 키 : 181 
이름 : 나마, 몸무게 : 40, 키 : 193 
이름 : 차하, 몸무게 : 86, 키 : 187 
이름 : 자가, 몸무게 : 96, 키 : 154 
이름 : 파나, 몸무게 : 53, 키 : 185 
이름 : 타마, 몸무게 : 83, 키 : 169 
이름 : 가바, 몸무게 : 60, 키 : 183 
이름 : 라카, 몸무게 : 98, 키 : 193 
이름 : 아아, 몸무게 : 60, 키 : 169 
이름 : 나자, 몸무게 : 57, 키 : 163 
이름 : 카카, 몸무게 : 55, 키 : 167 
이름 : 나차, 몸무게 : 93, 키 : 168 
이름 : 자사, 몸무게 : 76, 키 : 184 
이름 : 차파, 몸무게 : 56, 키 : 167 
이름 : 사차, 몸무게 : 81, 키 : 166 
이름 : 카라, 몸무게 : 65, 키 : 164 
이름 : 나하, 몸무게 : 96, 키 : 159 
이름 : 차가, 몸무게 : 77, 키 : 163 
이름 : 나바, 몸무게 : 97, 키 : 154 
이름 : 마차, 몸무게 : 59, 키 : 190 
이름 : 마파, 몸무게 : 59, 키 : 159 
이름 : 자파, 몸무게 : 70, 키 : 161 
이름 : 아가, 몸무게 : 84, 키 : 179 
이름 : 타가, 몸무게 : 56, 키 : 162 
이름 : 차자, 몸무게 : 89, 키 : 175 
